ID,family,marriage,child's forname(s),child's surname,birth day,birth month,birth year,address,sex,father's forename,father's surname,father's occupation,mother's forename,mother's maiden surname,mother's occupation,day of parents' marriage,month of parents' marriage,year of parents' marriage,place of parent's marriage,illegit,notes,Death,CHILD_IDENTITY,MOTHER_IDENTITY,FATHER_IDENTITY,DEATH_RECORD_IDENTITY,PARENT_MARRIAGE_RECORD_IDENTITY,FATHER_BIRTH_RECORD_IDENTITY,MOTHER_BIRTH_RECORD_IDENTITY,MARRIAGE_RECORD_IDENTITY1,MARRIAGE_RECORD_IDENTITY2,MARRIAGE_RECORD_IDENTITY3,MARRIAGE_RECORD_IDENTITY4,MARRIAGE_RECORD_IDENTITY5,MARRIAGE_RECORD_IDENTITY6,MARRIAGE_RECORD_IDENTITY7,MARRIAGE_RECORD_IDENTITY8,IMMIGRANT_GENERATION
5220,956,956,Fahmida,Spiers,4,JULY,1768,"1 Scott Crescent, Burnfoot, Scottish Borders",F,Haroon,Spiers,ACCOUNTANT'S CLERK,Laura,Edwards,,14,FEBRUARY,1762,"Burnfoot Scottish Borders",,SYNTHETIC DATA PRODUCED USING VALIPOP,5220,5220,3318,3181,5220,956,3181,3318,1466,2046,,,,,,,NA
5258,791,791,Fatima,Young,25,DECEMBER,1769,"1 Braeside Park, Aberfeldy, Perth and Kinross",F,Thomas,Young,POLICE CONSTABLE,Jessica,Syme,DOMESTIC SERVANT,6,FEBRUARY,1756,"Aberfeldy Perth and Kinross",,SYNTHETIC DATA PRODUCED USING VALIPOP,5258,5258,2564,2185,5258,791,2185,2564,1557,,,,,,,,NA
5300,994,994,Michaela,Johnson,1,SEPTEMBER,1769,"1 Courthill Street, Dalry, North Ayrshire",F,Samuel,Johnson,SHOEMAKER,Katie,Bell,DOMESTIC SERVANT,15,OCTOBER,1765,"Dalry North Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,5300,5300,3294,2249,5300,994,2249,3294,1472,1560,,,,,,,NA
5314,962,962,Hannah,Jordan,17,APRIL,1769,"6 Glencraig Place, Croc, North Ayrshire",F,Peter,Jordan,SLATER JOURNEYMAN,Sinead,Hilton,,13,NOVEMBER,1762,"Croc North Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,5314,5314,3486,2971,5314,962,2971,3486,1558,,,,,,,,NA
5288,1013,1013,Maisie,Hawthorne,30,MAY,1769,"4 Common Road, Cellardyke, Fife",F,Liam,Hawthorne,TENANT OF 8 ACRES,Nikita,Young,WEAVER'S DAUR,29,OCTOBER,1766,"Cellardyke Fife",,SYNTHETIC DATA PRODUCED USING VALIPOP,5288,5288,2942,2383,5288,1013,2383,2942,1498,,,,,,,,NA
5320,1023,1023,Navpreet,Hobson,3,SEPTEMBER,1769,"92 Upper Loan Park, Allanbank, Lauder",F,Hassan,Hobson,BLACKSMITH,Elizabeth,Ross,DAIRY MAID,6,AUGUST,1767,"Allanbank Lauder ",,SYNTHETIC DATA PRODUCED USING VALIPOP,5320,5320,3714,3427,5320,1023,3427,3714,1496,,,,,,,,NA
5468,939,939,Nikita,Green,6,JANUARY,1771,"1 Crosbie Road, Troon, South Ayrshire",F,Samuel,Green,GEN CARP,Chelsie,Wood,DAIRY MAID,8,MARCH,1763,"Troon South Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,5468,5468,3446,2509,5468,939,2509,3446,1694,,,,,,,,NA
5496,1070,1070,Charlotte,Davidson,13,JULY,1771,"2 Birch Avenue, Southfield, Scottish Borders",F,Shahid,Davidson,SCHOOLAR,Rachel,Christie,MESSAGE GIRL,9,APRIL,1771,"Southfield Scottish Borders",,SYNTHETIC DATA PRODUCED USING VALIPOP,5496,5496,4090,4207,5496,1070,4207,4090,1543,1698,,,,,,,NA
5460,1039,1039,Annabel,Jackson,3,DECEMBER,1771,"44 Chalmers Court, Three Bridges, Inveraray",F,Patrick,Jackson,POLICE OFFICER,Lucy,Craig,SERVANT,11,JUNE,1767,"Three Bridges Inveraray ",,SYNTHETIC DATA PRODUCED USING VALIPOP,5460,5460,3230,3049,5460,1039,3049,3230,1542,,,,,,,,NA
5450,820,820,Stephanie,Smith,1,MARCH,1771,"2 Leideag, Na h-Eileanan Siar",F,Miten,Smith,PILOT,Chloe,Jackson,MUSLIN BLEACHER,13,OCTOBER,1757,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,5450,5450,3030,1545,5450,820,1545,3030,1541,,,,,,,,NA
5628,1019,1019,Nicole,Hassan,1,DECEMBER,1773,"93 The Green, East Lothian",F,Benjamin,Hassan,COMMERCIAL CL RUSSIA BROKER,Natalie,Gowans,,20,NOVEMBER,1766,"East Lothian",,SYNTHETIC DATA PRODUCED USING VALIPOP,5628,5628,3556,3439,5628,1019,3439,3556,1613,,,,,,,,NA
5652,1114,1114,Holly,Mcguire,6,SEPTEMBER,1773,"1 Mill Way, Brora, Highland",F,Regan,Mcguire,IRONSTONE MINER,Melissa,Jamieson,,12,JUNE,1773,"Brora Highland",,SYNTHETIC DATA PRODUCED USING VALIPOP,5652,5652,4342,3867,5652,1114,3867,4342,1611,,,,,,,,NA
5618,863,863,Laura,Gowans,2,OCTOBER,1773,"2 Scorrybreac Road, Portree, Highland",F,Joseph,Gowans,SHIP CARPENTER,Maria,Waugh,HOUSE KEEPER,9,SEPTEMBER,1761,"Portree Highland",,SYNTHETIC DATA PRODUCED USING VALIPOP,5618,5618,3500,2977,5618,863,2977,3500,1612,,,,,,,,NA
5606,861,861,Amber,Smith,26,APRIL,1773,"45 Ard Struan Road, Highland",F,Matthew,Smith,MINISTER OF ESTABLISHD CHURCH,Carrie,Hawthorne,,7,SEPTEMBER,1758,"Highland",,SYNTHETIC DATA PRODUCED USING VALIPOP,5606,5606,3280,3149,5606,861,3149,3280,1653,,,,,,,,NA
5610,996,996,Summer,Malik,4,OCTOBER,1773,"1 Braeview, South Broomage, Stenhousemuir",F,Henry,Malik,HOUSE DECORATOR,Danielle,Fell,FARMERS DAUGHTER,15,NOVEMBER,1764,"South Broomage Stenhousemuir ",,SYNTHETIC DATA PRODUCED USING VALIPOP,5610,5610,3378,3391,5610,996,3391,3378,1651,2157,,,,,,,NA
5640,979,979,Kristy,Murray,20,JULY,1773,"9 St Molios Park, Croc, North Ayrshire",F,Benjamin,Murray,IRON TURNER & FOSTER,Charley,Reid,HOUSE SERVANT,11,OCTOBER,1766,"Croc North Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,5640,5640,3814,3485,5640,979,3485,3814,1500,,,,,,,,NA
