ID,forename(s) of deceased,surname of deceased,occupation,marital status,sex,name of spouse,spouse's occ,day,month,year,address,age at death,father's forename,father's surname,father's occupation,if father deceased,mother's forename,mother's maiden surname,mother's occupation,if mother deceased,death code A,death code B,death code C,notes1,Birth,mar,DECEASED_IDENTITY,MOTHER_IDENTITY,FATHER_IDENTITY,SPOUSE_IDENTITY,BIRTH_RECORD_IDENTITY,PARENT_MARRIAGE_RECORD_IDENTITY,FATHER_BIRTH_RECORD_IDENTITY,MOTHER_BIRTH_RECORD_IDENTITY,SPOUSE_MARRIAGE_RECORD_IDENTITY,SPOUSE_BIRTH_RECORD_IDENTITY,IMMIGRANT_GENERATION
5220,Fahmida,Spiers,,W,F,Nathan Rice,CROFTER,12,JUNE,1856,"2 Peel Gait, Glenburn, Selkirk",87,Haroon,Spiers,,D,Laura,Edwards,,D,R53.03,R54.05,,SYNTHETIC DATA PRODUCED USING VALIPOP,5220,2046,5220,3318,3181,6295,5220,956,3181,3318,2046,6295,NA
5258,Fatima,Young,PAUPER,W,F,Christopher Hobson,LABOURER,26,NOVEMBER,1857,"2 Lathallan Grange, Aberdeenshire",87,Thomas,Young,,D,Jessica,Syme,,D,R54.02,,,SYNTHETIC DATA PRODUCED USING VALIPOP,5258,1557,5258,2564,2185,4841,5258,791,2185,2564,1557,4841,NA
5300,Michaela,Johnson,RETIRED SEMPSTRESS,W,F,Jake Innes,TAILOR,12,FEBRUARY,1857,"1 The Path, Hillpark, Bannockburn",87,Samuel,Johnson,,D,Katie,Bell,,D,R54.05,R53.03,,SYNTHETIC DATA PRODUCED USING VALIPOP,5300,1560,5300,3294,2249,4599,5300,994,2249,3294,1560,4599,NA
5314,Hannah,Jordan,PAUPER,W,F,Michael Donald,RIDDLE MAKER,26,MAY,1857,"127 Cnoc a' Challtuinn, Argyll and Bute",88,Peter,Jordan,,D,Sinead,Hilton,,D,I51.90,R54.05,,SYNTHETIC DATA PRODUCED USING VALIPOP,5314,1558,5314,3486,2971,5081,5314,962,2971,3486,1558,5081,NA
5288,Maisie,Hawthorne,PAUPER,W,F,Conor Duncan,LABOURER,17,MARCH,1858,"3 The Avenue, Three Bridges, Inveraray",88,Liam,Hawthorne,,D,Nikita,Young,,D,R54.05,R53.03,,SYNTHETIC DATA PRODUCED USING VALIPOP,5288,1498,5288,2942,2383,4527,5288,1013,2383,2942,1498,4527,NA
5320,Navpreet,Hobson,PAUPER,W,F,Luke Clark,FORMERLY COTTON WEAVER,27,AUGUST,1858,"1 Eriskay Place, Riccarton, Kilmarnock",88,Hassan,Hobson,,D,Elizabeth,Ross,,D,R54.05,,,SYNTHETIC DATA PRODUCED USING VALIPOP,5320,1496,5320,3714,3427,4659,5320,1023,3427,3714,1496,4659,NA
5468,Nikita,Green,,W,F,Connor Webb,CROFTER FARM 7 ACRES,2,OCTOBER,1856,"2 Athol Court, Scaurs, Jedburgh",85,Samuel,Green,,D,Chelsie,Wood,,D,R09.10,R53.03,,SYNTHETIC DATA PRODUCED USING VALIPOP,5468,1694,5468,3446,2509,5561,5468,939,2509,3446,1694,5561,NA
5496,Charlotte,Davidson,PAUPER,W,F,Declan Smith,CROFTER,20,AUGUST,1856,"1 Cromarty Crescent, Upper Achintore, Fort William",85,Shahid,Davidson,,D,Rachel,Christie,,D,R53.03,R54.05,,SYNTHETIC DATA PRODUCED USING VALIPOP,5496,1698,5496,4090,4207,5219,5496,1070,4207,4090,1698,5219,NA
5460,Annabel,Jackson,PAUPER,W,F,Jake Burns,WEAVER WINSEY,31,JULY,1859,"18 Castlemains Place, East Lothian",87,Patrick,Jackson,,D,Lucy,Craig,,D,R54.05,,,SYNTHETIC DATA PRODUCED USING VALIPOP,5460,1542,5460,3230,3049,4893,5460,1039,3049,3230,1542,4893,NA
5450,Stephanie,Smith,PRIVATE CHARITY,W,F,Matthew Hawthorne,PLOUGHMAN,7,MARCH,1859,"4 Pairc Uilleim, Highland",88,Miten,Smith,,D,Chloe,Jackson,,D,J42.00,R54.05,,SYNTHETIC DATA PRODUCED USING VALIPOP,5450,1541,5450,3030,1545,5371,5450,820,1545,3030,1541,5371,NA
5628,Nicole,Hassan,FARMER'S WIDOW,W,F,Harry Mowbray,FISHERMAN,2,MARCH,1855,"123 Lagrannoch Drive, Braeleny Farm, Stirling",81,Benjamin,Hassan,,D,Natalie,Gowans,,D,R54.02,,,SYNTHETIC DATA PRODUCED USING VALIPOP,5628,1613,5628,3556,3439,5149,5628,1019,3439,3556,1613,5149,NA
5652,Holly,Mcguire,,W,F,Paul Millar,CROFTER,7,JANUARY,1857,"2 Priory Crescent, Warddykes, Arbroath",83,Regan,Mcguire,,D,Melissa,Jamieson,,D,R54.05,,,SYNTHETIC DATA PRODUCED USING VALIPOP,5652,1611,5652,4342,3867,4977,5652,1114,3867,4342,1611,4977,NA
5618,Laura,Gowans,PAUPER,W,F,Kieran Little,FARMER OF 24 ACRES,6,NOVEMBER,1860,"2 Haddo Crescent, Aberdeenshire",87,Joseph,Gowans,,D,Maria,Waugh,,D,Y26.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,5618,1612,5618,3500,2977,5055,5618,863,2977,3500,1612,5055,NA
5606,Amber,Smith,,W,F,David Berry,QUARRIER,29,DECEMBER,1860,"1 Queens Crescent, Stirling",87,Matthew,Smith,,D,Carrie,Hawthorne,,D,K56.60,,,SYNTHETIC DATA PRODUCED USING VALIPOP,5606,1653,5606,3280,3149,4989,5606,861,3149,3280,1653,4989,NA
5610,Summer,Malik,FARM LABOURER,W,F,Joseph Penman,FARMER,25,MAY,1860,"12 Common Road, Cellardyke, Fife",86,Henry,Malik,,D,Danielle,Fell,,D,R54.05,R53.03,,SYNTHETIC DATA PRODUCED USING VALIPOP,5610,2157,5610,3378,3391,6115,5610,996,3391,3378,2157,6115,NA
5640,Kristy,Murray,FISHERMANS WIDOW,W,F,Aaron Donald,LINEN WEAVER,29,MAY,1860,"12 The Croft, The Holmes, Scottish Borders",86,Benjamin,Murray,,D,Charley,Reid,,D,R54.05,,,SYNTHETIC DATA PRODUCED USING VALIPOP,5640,1500,5640,3814,3485,5061,5640,979,3485,3814,1500,5061,NA
