ID,day,month,year,place of marriage,forename of groom,surname of groom,occupation of groom,marital status of groom,age of groom,address of groom,forename of bride,surname of bride,occupation of bride,marital status of bride,age of bride,address of bride,groom's father's forename,groom's father's surname,groom's father's occupation,if groom's father deceased,groom's mother's forename,groom's mother's maiden surname,if groom's mother deceased,bride's father's forename,bride's father's surname,bride's father's occupation,if bride's father deceased,bride's mother's forename,bride's mother's maiden surname,if bride's mother deceased,notes1,gdeath,bdeath,GROOM_IDENTITY,BRIDE_IDENTITY,GROOM_MOTHER_IDENTITY,GROOM_FATHER_IDENTITY,BRIDE_MOTHER_IDENTITY,BRIDE_FATHER_IDENTITY,GROOM_BIRTH_RECORD_IDENTITY,BRIDE_BIRTH_RECORD_IDENTITY,GROOM_FATHER_BIRTH_RECORD_IDENTITY,GROOM_MOTHER_BIRTH_RECORD_IDENTITY,BRIDE_FATHER_BIRTH_RECORD_IDENTITY,BRIDE_MOTHER_BIRTH_RECORD_IDENTITY,BRIDE_IMMIGRANT_GENERATION,GROOM_IMMIGRANT_GENERATION
3285,15,FEBRUARY,1853,,Curtis,Fitzsimmons,MATE,B,30,"25 Monamore Place, Croc, North Ayrshire",Megan,Jordan,FISHERMAN'S WIFE,S,34,"25 Monamore Place, Croc, North Ayrshire",Ryan,Fitzsimmons,CLERK,,Katrina,Mcmillan,,Jim,Jordan,AG LAB,,Roshni,Hutcheson,,SYNTHETIC DATA PRODUCED USING VALIPOP,11205,10718,11205,10718,8410,7433,7654,8047,11205,10718,7433,8410,8047,7654,NA,NA
3289,2,NOVEMBER,1853,,Fahim,Wilson,DRAPERS ASSISTANT,B,22,"2 The Path, Hillpark, Bannockburn",Bethany,Innes,SEMPSTRESS,S,27,"2 The Path, Hillpark, Bannockburn",Moshe,Wilson,SPIRIT DEALER,,Stephanie,Murray,,Bobby,Innes,ACCOUNTANT,,Abigail,Mcdonald,,SYNTHETIC DATA PRODUCED USING VALIPOP,11379,10942,11379,10942,7946,7747,7736,7543,11379,10942,7747,7946,7543,7736,NA,NA
3301,29,MARCH,1853,,Macaulay,Webb,AG LABOURER,B,31,"112 Cant Crescent, Northbank Farm Steadings, Fife",Charlotte,Bull,WIFE,D,27,"112 Cant Crescent, Northbank Farm Steadings, Fife",Mitchell,Webb,INN KEEPER & JOINER,,Kaylah,Craig,,Karl,Bull,HAND LOOM COTTON WEAVER,,Darcie,Main,,SYNTHETIC DATA PRODUCED USING VALIPOP,10831,11304,10831,11304,7838,6211,8540,8915,10831,11304,6211,7838,8915,8540,NA,NA
3343,19,MAY,1854,,Aleksander,Mcshane,PLOUGH MAN,B,23,"68 Dail a' Chladaich, Highland",Molly,Watson,SCHOLAR,S,18,"68 Dail a' Chladaich, Highland",Gideon,Mcshane,CARPENTER,,Lauren,Mackenzie,,Joshua,Watson,MEAL MILLER,,Savanna,Robinson,,SYNTHETIC DATA PRODUCED USING VALIPOP,11439,12002,11439,12002,9216,8701,9236,8919,11439,12002,8701,9216,8919,9236,NA,NA
3351,3,JULY,1855,,Matthew,Neill,DRAPER,D,28,"6 Cille Bha 'Nain, Buailledubh, Na h-Eileanan Siar",Eve,Petrie,LINEN HAND LOOM WEAVER,W,28,"1 Newbiggin, Pitairlie, Angus",Brandon,Neill,AG LAB,,Hebe,Forbes,,Matthew,Petrie,FARMER,,Grace,Smith,,SYNTHETIC DATA PRODUCED USING VALIPOP,10725,10822,10725,10822,7822,7625,7762,8131,10725,10822,7625,7822,8131,7762,NA,NA
3359,16,JANUARY,1855,,Jamal,Smith,STORE KEEPER TO COMMRS OF POLICE,D,62,"2 Priory Park, Braw Gates House, Selkirk",Emily,Mcgarva,FARM SERVANT,S,25,"29 Monamore Place, Croc, North Ayrshire",Samuel,Smith,FISHER,,Jemima,Paterson,,Tobias,Mcgarva,FARMER OF 170 ACRES,,Alice,Cooney,,SYNTHETIC DATA PRODUCED USING VALIPOP,7395,11072,7395,11072,5714,5993,7894,7455,7395,11072,5993,5714,7455,7894,NA,NA
3360,17,AUGUST,1855,"Southfield Scottish Borders",Alexander,Gowans,SCHOLAR,B,18,"1 Gentlecroft, Perth and Kinross",Mollie,O'donnell,POWER LOOM WOOLEN WEAVER,S,24,"11 Monamore Place, Croc, North Ayrshire",Tyler,Gowans,MUSICAL MAN,,Amy,Wilson,,Matthew,O'donnell,AG LAB,,Colleen,Doig,,SYNTHETIC DATA PRODUCED USING VALIPOP,11825,11160,11825,11160,8146,6721,7704,7015,11825,11160,6721,8146,7015,7704,NA,NA
3374,15,SEPTEMBER,1855,,Jake,Robinson,HOUSE WRIGHT,B,30,"1 Shepherd Lane, Kirkton, Angus",Katie,Brand,DOMESTIC SERVANT,S,21,"1 Shepherd Lane, Kirkton, Angus",Kyle,Robinson,COAL MINER,,Chloe,Fleming,,Thomas,Brand,(SILK) H L WEAVER,,Florence,Bull,,SYNTHETIC DATA PRODUCED USING VALIPOP,10731,11652,10731,11652,8136,7257,8918,8439,10731,11652,7257,8136,8439,8918,NA,NA
3377,29,JUNE,1856,"Orkney Islands",Ryan,Rae,LABOURER AGRICULTURAL,B,34,"146 Franklin Road, Western Horn, Stromness",Emily,Clow,FARM SERV WIFE,W,41,"4 Queen Street, Calton, Campbeltown",Ryan,Rae,STONE MASON (HEWER),,Marie,Buchan,,Ciaran,Clow,COTTON WEAVER,,Sarah,Ramsay,,SYNTHETIC DATA PRODUCED USING VALIPOP,10093,9298,10093,9298,7860,7819,6294,6481,10093,9298,7819,7860,6481,6294,NA,NA
3378,30,OCTOBER,1856,"Highland",Daniel,Murray,WOOD TURNER (JOURY),W,50,"170 Cnoc a' Challtuinn, Argyll and Bute",Shauna,Mckillop,FACTORY WORKER,W,41,"1 Laverock Hill, Ellon, Aberdeenshire",Paul,Murray,PROPRIETOR & FARMER OF 100 ACRES EMPLOYING 1 MAN,,Isabella,Mackie,,Robert,Mckillop,SAWER JOURNEYMAN,,Lauren,Logan,,SYNTHETIC DATA PRODUCED USING VALIPOP,8629,9438,8629,9438,6618,6487,7104,7093,8629,9438,6487,6618,7093,7104,NA,NA
